onset	duration	Alert	GoalsOther	Repeat	PleasantSelf	Tackle	trial
8	4	36.5	1.0	0.0	48.0	5.0	clip_1
51	8	26.5	61.5	27.5	49.5	30.0	clip_2
80	6	25.5	23.0	22.0	47.5	26.5	clip_3
108	6	32.5	76.5	33.0	64.5	27.5	clip_4
156	3	36.5	11.0	14.5	54.5	23.0	clip_5
209	5	33.0	0.0	7.5	48.0	12.0	clip_6
228	7	40.5	82.5	31.5	21.0	73.5	clip_7
252	6	50.0	78.5	21.0	28.5	82.0	clip_8
288	6	35.5	65.5	16.5	29.0	77.5	clip_9
330	6	22.5	73.0	24.5	30.5	78.0	clip_10
355	8	30.0	63.0	27.0	20.0	83.5	clip_11
390	6	34.0	15.5	20.5	48.0	76.0	clip_12
440	8	32.0	61.0	37.5	39.5	74.0	clip_13
468	9	36.5	63.0	58.0	58.0	73.0	clip_14
501	6	41.0	64.5	69.5	69.5	69.5	clip_15
543	6	50.0	30.5	36.0	50.0	66.0	clip_16
569	8	39.5	80.5	46.0	46.0	75.5	clip_17
611	8	45.5	69.5	69.5	69.5	69.5	clip_18
645	8	57.0	57.0	66.5	66.5	66.5	clip_19
675	8	46.0	38.0	40.5	48.0	48.0	clip_20
719	6	50.0	68.5	68.5	68.5	68.5	clip_21
762	8	50.0	70.0	70.0	70.0	72.5	clip_22
790	5	50.0	59.5	76.0	90.0	53.0	clip_23
