onset	duration	Fear	Tackle	Suddenly	Command	Surprise	trial
9	4	0.0	0.0	0.0	0.0	0.0	clip_1
37	8	0.0	0.0	0.0	0.0	0.0	clip_2
58	4	0.0	0.0	0.0	0.0	0.0	clip_3
80	4	0.0	0.0	0.0	0.0	0.0	clip_4
104	10	90.0	90.0	90.0	90.0	90.0	clip_5
134	7	1.0	1.0	1.0	1.0	1.0	clip_6
155	5	0.0	0.0	0.0	0.0	0.0	clip_7
188	6	7.0	0.0	0.0	0.0	0.0	clip_8
209	8	0.0	0.0	0.0	0.0	0.0	clip_9
237	8	0.0	0.0	0.0	0.0	0.0	clip_10
279	9	83.0	80.5	80.5	80.5	80.5	clip_11
307	5	0.0	0.0	0.0	0.0	0.0	clip_12
358	6	0.0	0.0	0.0	0.0	0.0	clip_13
374	9	100.0	100.0	100.0	100.0	100.0	clip_14
395	9	100.0	100.0	100.0	100.0	100.0	clip_15
432	8	96.5	96.5	96.5	96.5	96.5	clip_16
488	5	91.0	91.0	93.5	93.5	100.0	clip_17
512	8	4.5	4.5	4.5	4.5	4.5	clip_18
535	5	0.0	0.0	0.0	0.5	100.0	clip_19
576	6	1.5	1.5	1.5	1.5	1.5	clip_20
