onset	duration	Fear	Tackle	Suddenly	Command	Surprise	trial
27	7	65.0	0.0	0.0	0.0	0.0	clip_1
55	6	0.0	0.0	0.0	0.0	0.0	clip_2
80	8	41.5	83.5	83.5	84.0	56.0	clip_3
103	6	68.5	66.5	66.5	66.5	66.5	clip_4
135	8	62.0	93.0	93.0	93.0	93.0	clip_5
184	6	0.0	0.0	97.0	47.0	100.0	clip_6
224	8	0.0	0.0	0.0	0.0	0.0	clip_7
251	10	0.0	0.0	0.0	0.0	0.0	clip_8
282	8	1.0	1.0	1.0	1.0	1.0	clip_9
316	5	0.0	0.0	0.0	0.0	0.0	clip_10
354	8	0.0	0.0	0.0	0.0	0.0	clip_11
372	6	81.0	81.0	97.5	69.0	100.0	clip_12
405	5	0.0	0.0	0.0	0.0	0.0	clip_13
442	7	0.0	0.0	0.0	0.0	0.0	clip_14
485	5	0.0	0.0	0.0	0.0	0.0	clip_15
