onset	duration	Fear	Tackle	Suddenly	Command	Surprise	trial
8	4	0.0	0.0	0.0	0.0	0.0	clip_1
51	8	0.0	0.0	0.0	0.0	0.0	clip_2
80	6	0.0	0.0	0.0	0.0	0.0	clip_3
108	6	12.5	0.0	0.0	0.0	0.0	clip_4
156	3	0.0	0.0	0.0	0.0	0.0	clip_5
209	5	0.0	0.0	0.0	0.0	0.0	clip_6
228	7	84.5	84.5	84.5	88.5	100.0	clip_7
252	6	0.0	0.0	0.0	1.5	1.5	clip_8
288	6	0.0	0.0	0.0	0.0	0.0	clip_9
330	6	0.0	0.0	0.0	0.0	0.0	clip_10
355	8	100.0	100.0	100.0	100.0	100.0	clip_11
390	6	57.0	78.5	78.5	78.5	78.5	clip_12
440	8	6.0	13.0	13.0	13.0	13.0	clip_13
468	9	83.0	83.0	86.0	88.5	93.5	clip_14
501	6	9.0	0.0	0.0	0.0	0.0	clip_15
543	6	1.5	1.5	1.5	1.5	1.5	clip_16
569	8	92.5	92.5	92.5	92.5	92.5	clip_17
611	8	73.5	90.5	90.5	93.0	100.0	clip_18
645	8	1.5	1.5	1.5	1.5	1.5	clip_19
675	8	0.0	0.0	76.0	76.0	76.0	clip_20
719	6	91.5	91.5	91.5	91.5	91.5	clip_21
762	8	3.5	80.0	78.5	78.5	68.5	clip_22
790	5	0.0	0.0	0.0	0.0	0.0	clip_23
