onset	duration	Strong	Love	GoalsOther	Good	Guilt	trial
1	5	23.5	96.5	19.5	0.0	0.0	clip_1
26	5	1.0	1.0	1.0	1.0	1.0	clip_2
51	6	50.0	58.0	58.0	7.0	7.0	clip_3
65	6	7.0	7.0	7.0	19.5	7.0	clip_4
99	9	19.0	50.5	50.5	7.5	7.5	clip_5
132	8	5.5	5.5	59.0	8.0	8.0	clip_6
210	8	29.0	29.0	92.5	4.0	4.0	clip_7
240	9	2.5	2.5	2.5	2.5	2.5	clip_8
263	5	4.5	4.5	17.0	0.0	0.0	clip_9
296	9	2.5	3.0	3.0	3.0	3.5	clip_10
328	6	4.0	99.5	74.5	49.0	49.0	clip_11
376	8	0.5	49.5	49.5	2.5	48.0	clip_12
393	11	5.0	28.0	4.5	0.0	0.0	clip_13
422	9	0.0	0.0	100.0	0.0	70.5	clip_14
466	5	1.0	82.5	82.5	82.5	79.5	clip_15
535	8	2.5	2.5	2.5	2.5	2.5	clip_16
551	8	0.5	0.5	0.5	0.5	53.5	clip_17
574	6	43.0	34.0	34.0	3.0	3.0	clip_18
599	7	95.5	95.5	95.5	95.5	73.0	clip_19
641	8	55.5	67.5	67.5	97.5	97.0	clip_20
