onset	duration	Strong	Love	GoalsOther	Good	Guilt	trial
9	4	28.0	19.0	19.0	19.0	19.0	clip_1
37	8	7.5	9.0	9.0	9.0	9.0	clip_2
58	4	7.5	7.5	7.5	87.0	9.0	clip_3
80	4	97.5	1.0	92.0	92.0	92.0	clip_4
104	10	2.5	2.5	2.5	2.5	2.5	clip_5
134	7	12.0	4.5	15.5	41.0	78.0	clip_6
155	5	6.5	6.5	6.5	6.5	58.5	clip_7
188	6	6.5	6.5	94.5	94.5	94.5	clip_8
209	8	50.0	5.0	5.0	5.0	5.0	clip_9
237	8	12.5	32.0	32.0	87.5	66.5	clip_10
279	9	29.0	25.5	94.5	42.0	28.0	clip_11
307	5	11.5	11.5	95.0	95.0	95.0	clip_12
358	6	9.0	35.5	35.5	35.5	98.5	clip_13
374	9	2.5	2.5	2.5	2.5	2.5	clip_14
395	9	10.0	10.0	3.5	3.5	3.5	clip_15
432	8	94.0	94.0	47.5	47.5	9.0	clip_16
488	5	14.0	14.0	14.0	14.0	14.0	clip_17
512	8	11.5	11.5	11.5	11.5	90.5	clip_18
535	5	5.0	5.0	5.0	21.5	21.5	clip_19
576	6	75.0	76.5	76.5	82.0	69.5	clip_20
