onset	duration	Strong	Love	GoalsOther	Good	Guilt	trial
16	5	50.0	20.5	0.0	0.0	0.0	clip_1
48	8	6.5	6.5	6.5	6.5	6.5	clip_2
68	4	1.0	1.0	1.0	1.0	1.0	clip_3
94	7	7.5	7.5	7.5	7.5	7.5	clip_4
116	4	50.0	50.0	79.5	13.0	90.5	clip_5
165	7	50.0	50.0	50.0	9.0	100.0	clip_6
196	6	9.0	9.0	10.0	10.0	35.0	clip_7
232	10	11.5	11.5	37.0	41.0	57.5	clip_8
285	5	10.0	10.0	37.0	52.0	29.5	clip_9
307	7	43.0	11.0	11.0	11.0	52.5	clip_10
355	10	5.0	5.0	5.0	5.0	57.0	clip_11
384	9	10.0	10.0	36.0	83.0	83.0	clip_12
