onset	duration	Strong	Love	GoalsOther	Good	Guilt	trial
2	6	50.0	50.0	50.0	50.0	50.0	clip_1
23	5	32.0	50.0	85.5	85.5	17.0	clip_2
66	6	14.5	16.0	83.5	83.5	72.5	clip_3
85	7	82.5	80.5	81.0	81.0	81.0	clip_4
106	6	8.5	8.5	8.5	8.5	8.5	clip_5
124	6	50.0	50.0	13.5	13.5	13.5	clip_6
148	6	12.5	12.5	12.5	12.5	12.5	clip_7
170	10	22.0	83.5	48.0	48.0	28.5	clip_8
195	10	97.5	97.5	97.5	2.0	96.5	clip_9
238	8	10.0	95.5	95.5	8.5	9.0	clip_10
264	8	6.0	5.5	5.5	5.5	100.0	clip_11
294	9	49.0	46.5	46.5	46.5	98.0	clip_12
335	8	50.0	77.0	91.0	13.0	13.0	clip_13
359	5	28.5	21.0	21.0	21.0	21.0	clip_14
395	6	50.0	49.0	30.5	30.5	30.5	clip_15
