onset	duration	Strong	Love	GoalsOther	Good	Guilt	trial
27	7	18.0	18.0	18.0	18.0	18.0	clip_1
55	6	22.0	6.0	3.0	1.0	0.0	clip_2
80	8	14.5	9.0	9.0	9.0	9.0	clip_3
103	6	50.0	16.5	9.0	9.0	8.0	clip_4
135	8	50.0	11.0	6.5	6.5	6.5	clip_5
184	6	50.0	2.0	2.0	2.0	2.0	clip_6
224	8	50.0	13.0	8.5	8.5	8.5	clip_7
251	10	15.5	15.5	15.5	15.5	15.5	clip_8
282	8	12.0	12.0	12.0	12.0	12.0	clip_9
316	5	50.0	50.0	48.5	48.5	88.0	clip_10
354	8	45.0	11.5	11.5	11.5	11.5	clip_11
372	6	43.0	10.5	10.5	10.5	10.5	clip_12
405	5	27.5	9.5	9.5	9.5	94.5	clip_13
442	7	50.0	8.5	8.5	8.5	8.5	clip_14
485	5	50.0	11.5	11.5	11.5	11.5	clip_15
