onset	duration	Regard	Undo	SocialNorms	Controlled	Stop	trial
1	5	99.5	99.5	1.5	2.5	90.0	clip_1
26	5	50.0	50.0	50.0	50.0	50.0	clip_2
51	6	2.5	1.0	95.5	95.5	0.0	clip_3
65	6	89.5	16.0	89.0	89.0	3.0	clip_4
99	9	90.0	6.5	21.0	88.0	11.5	clip_5
132	8	66.5	66.0	66.0	82.0	6.0	clip_6
210	8	100.0	100.0	1.0	100.0	97.5	clip_7
240	9	76.0	5.5	61.5	97.5	0.0	clip_8
263	5	86.5	9.0	97.0	21.0	0.0	clip_9
296	9	41.5	100.0	96.5	93.0	47.5	clip_10
328	6	34.0	18.5	86.0	86.0	5.5	clip_11
376	8	84.0	18.0	86.5	92.5	29.0	clip_12
393	11	0.0	0.0	93.5	88.0	0.5	clip_13
422	9	100.0	100.0	0.0	0.0	0.0	clip_14
466	5	93.0	93.0	3.5	10.0	92.5	clip_15
535	8	87.0	47.5	85.0	88.0	53.5	clip_16
551	8	92.5	96.5	0.0	0.0	99.5	clip_17
574	6	100.0	92.5	4.0	4.0	92.5	clip_18
599	7	17.5	7.0	100.0	100.0	1.0	clip_19
641	8	4.5	8.5	100.0	92.5	0.0	clip_20
