onset	duration	Regard	Undo	SocialNorms	Controlled	Stop	trial
30	6	50.0	49.0	83.5	93.5	2.0	clip_1
50	7	12.0	13.0	89.5	88.0	10.5	clip_2
71	5	16.0	7.0	89.0	88.0	12.5	clip_3
98	10	7.5	1.0	88.5	88.5	6.5	clip_4
128	5	29.5	13.0	88.0	89.0	14.5	clip_5
152	7	78.0	16.5	88.0	83.0	10.5	clip_6
195	8	94.0	88.0	11.5	11.5	11.5	clip_7
221	9	89.0	89.0	7.5	7.5	91.5	clip_8
255	5	90.0	8.0	92.5	90.0	12.5	clip_9
298	10	93.5	10.0	91.5	90.0	10.0	clip_10
336	4	21.0	13.0	92.5	92.5	6.5	clip_11
350	9	85.0	14.5	84.5	86.5	5.5	clip_12
376	9	18.5	17.5	37.5	92.5	63.0	clip_13
428	10	10.0	10.0	93.0	91.5	10.5	clip_14
455	4	6.0	9.0	93.5	92.5	14.5	clip_15
484	8	3.5	10.0	95.5	95.5	6.0	clip_16
510	10	12.0	12.0	95.0	95.0	6.0	clip_17
532	8	9.5	8.5	87.5	87.5	6.5	clip_18
553	7	8.0	11.0	88.0	15.5	7.5	clip_19
582	8	14.0	10.5	100.0	100.0	4.5	clip_20
