onset	duration	Regard	Undo	SocialNorms	Controlled	Stop	trial
2	6	3.5	0.0	97.0	97.0	2.0	clip_1
23	5	75.0	10.5	88.5	88.5	5.5	clip_2
66	6	74.5	7.5	91.5	91.5	3.0	clip_3
85	7	91.5	0.5	99.0	91.0	12.0	clip_4
106	6	24.5	33.0	93.0	94.5	9.5	clip_5
124	6	10.5	10.5	10.5	89.5	28.5	clip_6
148	6	7.5	7.5	91.0	91.0	11.5	clip_7
170	10	19.5	19.5	95.0	92.5	12.5	clip_8
195	10	88.5	48.5	89.5	92.5	8.0	clip_9
238	8	69.5	12.0	88.5	90.5	69.5	clip_10
264	8	95.5	49.5	100.0	100.0	52.0	clip_11
294	9	100.0	58.5	58.5	14.5	14.5	clip_12
335	8	92.5	91.5	7.0	9.0	91.5	clip_13
359	5	87.5	85.0	45.5	90.0	48.5	clip_14
395	6	90.5	7.0	95.0	95.0	6.0	clip_15
