onset	duration	Fear	Tackle	Suddenly	Command	Surprise	trial
1	5	90.0	90.0	90.0	90.0	90.0	clip_1
26	5	0.0	0.0	0.0	0.0	0.0	clip_2
51	6	0.0	0.0	0.0	0.0	0.0	clip_3
65	6	0.5	75.0	75.0	75.0	75.0	clip_4
99	9	0.0	79.5	79.5	79.5	79.5	clip_5
132	8	0.0	0.0	0.0	0.0	0.0	clip_6
210	8	73.5	81.0	95.5	95.5	95.5	clip_7
240	9	0.0	0.0	0.0	0.0	0.0	clip_8
263	5	0.0	0.0	0.0	0.0	0.0	clip_9
296	9	0.0	0.0	0.0	0.0	0.0	clip_10
328	6	0.0	0.0	0.0	0.0	0.0	clip_11
376	8	0.0	0.0	0.0	0.0	0.0	clip_12
393	11	0.0	0.0	0.0	0.0	0.0	clip_13
422	9	100.0	99.0	99.0	100.0	100.0	clip_14
466	5	62.5	92.0	92.0	92.0	92.0	clip_15
535	8	98.5	98.5	98.5	98.5	100.0	clip_16
551	8	100.0	100.0	100.0	100.0	100.0	clip_17
574	6	98.0	98.0	98.0	98.0	98.0	clip_18
599	7	0.0	0.0	0.0	0.0	0.0	clip_19
641	8	0.0	13.0	0.0	86.5	86.5	clip_20
