onset	duration	Strong	Surprise	Repeat	IntenseEmotion	Move	trial
9	4	76.0	80.5	89.0	78.0	96.0	clip_1
37	8	24.0	65.5	41.0	74.0	85.0	clip_2
58	4	58.5	65.0	59.0	64.0	35.5	clip_3
80	4	56.0	51.0	73.5	68.0	34.0	clip_4
104	10	30.0	60.5	39.0	62.0	84.5	clip_5
134	7	34.5	53.5	33.5	60.0	38.5	clip_6
155	5	71.0	54.5	66.0	68.0	57.5	clip_7
188	6	90.0	69.0	90.0	75.0	93.0	clip_8
209	8	100.0	78.5	100.0	85.5	100.0	clip_9
237	8	58.0	46.0	62.5	60.5	83.5	clip_10
279	9	34.0	56.0	67.0	71.0	29.0	clip_11
307	5	71.5	61.5	78.5	66.5	31.0	clip_12
358	6	65.5	56.0	63.0	69.0	38.5	clip_13
374	9	7.5	89.5	12.5	74.0	45.0	clip_14
395	9	0.0	83.0	0.0	75.0	100.0	clip_15
432	8	0.0	81.5	18.5	76.0	100.0	clip_16
488	5	81.0	84.5	99.5	77.0	100.0	clip_17
512	8	39.0	56.5	37.0	60.0	78.0	clip_18
535	5	43.5	53.5	31.0	54.0	74.5	clip_19
576	6	69.0	75.0	81.0	76.5	15.0	clip_20
