onset	duration	Strong	Surprise	Repeat	IntenseEmotion	Move	trial
15	9	72.5	55.0	86.0	74.0	81.5	clip_1
35	5	94.0	83.5	100.0	74.0	55.0	clip_2
63	6	59.0	50.5	75.0	53.0	41.0	clip_3
116	7	26.0	60.5	38.0	58.0	39.0	clip_4
162	8	62.0	68.0	49.0	57.5	26.0	clip_5
185	7	31.0	64.5	58.0	60.5	36.5	clip_6
203	5	22.5	65.5	35.0	53.5	71.5	clip_7
248	7	0.0	88.0	0.0	68.0	100.0	clip_8
286	8	0.0	100.0	0.0	68.5	100.0	clip_9
333	7	35.0	76.0	27.5	57.0	82.0	clip_10
360	7	12.5	74.0	26.5	67.5	82.0	clip_11
383	7	68.0	75.5	86.0	71.5	86.0	clip_12
412	6	25.5	61.0	35.5	35.5	43.5	clip_13
470	9	44.0	66.0	42.5	60.0	26.0	clip_14
517	6	3.5	82.5	0.0	74.0	94.0	clip_15
543	7	17.5	66.0	31.0	69.5	28.5	clip_16
584	8	42.0	52.0	70.5	63.0	33.5	clip_17
627	6	31.5	65.0	32.0	59.5	68.5	clip_18
648	6	57.0	64.0	94.0	77.0	82.0	clip_19
694	7	55.5	46.0	62.0	65.5	28.5	clip_20
743	8	66.5	58.5	83.5	74.5	60.0	clip_21
785	7	75.0	45.0	81.0	58.0	29.0	clip_22
801	6	90.0	64.0	90.0	67.0	24.0	clip_23
