onset	duration	Anger	PleasantSelf	Sad	Suddenly	Tears	trial
6	5	25.0	3.0	0.0	0.0	0.0	clip_1
29	5	50.0	50.0	21.0	21.0	0.0	clip_2
60	6	0.0	0.0	0.0	31.5	0.0	clip_3
82	7	2.0	2.0	2.0	12.5	0.0	clip_4
113	6	6.5	6.5	0.0	7.0	0.0	clip_5
134	6	23.0	23.0	16.5	35.0	0.0	clip_6
166	9	16.5	24.0	30.5	23.5	0.0	clip_7
196	8	20.5	27.5	1.5	1.5	0.0	clip_8
239	8	19.5	23.5	10.0	36.0	1.5	clip_9
267	9	31.0	25.5	0.0	7.0	0.0	clip_10
307	10	18.0	18.0	18.0	18.0	0.0	clip_11
352	8	39.0	18.5	2.0	11.0	0.0	clip_12
392	6	30.5	1.5	6.5	6.5	6.5	clip_13
405	7	50.0	47.0	1.0	30.0	0.0	clip_14
443	8	34.5	34.5	25.5	25.5	0.5	clip_15
507	9	16.5	16.5	13.0	9.0	0.5	clip_16
532	7	8.5	8.5	12.5	12.5	0.0	clip_17
570	7	15.0	11.5	24.0	5.0	1.0	clip_18
598	9	34.0	34.0	34.0	31.0	6.0	clip_19
645	8	2.5	33.0	48.0	38.0	0.0	clip_20
674	5	1.0	5.0	5.0	0.5	10.0	clip_21
707	9	32.5	37.0	56.5	49.5	9.5	clip_22
740	7	22.0	22.0	64.0	27.0	0.0	clip_23
776	10	42.5	49.0	70.0	73.5	6.5	clip_24
803	5	72.0	75.0	78.0	71.0	7.5	clip_25
829	7	38.5	28.5	58.0	29.0	7.0	clip_26
864	6	42.5	58.5	80.0	16.0	6.0	clip_27
910	8	34.5	59.0	85.0	54.0	1.0	clip_28
955	10	15.5	38.0	62.0	51.5	5.0	clip_29
972	7	50.0	60.0	80.0	2.0	0.0	clip_30
986	6	8.0	28.0	87.0	51.0	20.5	clip_31
