onset	duration	Happiness	Muscle	WarmHeartedness	AtEase	Throat	trial
30	6	50.0	23.5	23.5	71.0	9.5	clip_1
50	7	50.0	9.5	41.0	68.0	0.0	clip_2
71	5	74.5	1.0	1.0	92.0	0.0	clip_3
98	10	77.5	3.0	3.0	76.5	0.0	clip_4
128	5	72.5	0.0	0.0	97.5	5.5	clip_5
152	7	36.0	0.0	0.0	80.5	1.0	clip_6
195	8	6.5	6.5	38.5	51.5	0.0	clip_7
221	9	50.0	0.0	0.0	76.5	0.0	clip_8
255	5	50.0	0.0	0.0	100.0	0.0	clip_9
298	10	50.0	0.0	5.5	92.5	6.0	clip_10
336	4	96.5	7.0	7.0	93.0	6.5	clip_11
350	9	58.5	0.0	0.5	85.5	85.5	clip_12
376	9	26.0	61.0	11.0	34.5	71.0	clip_13
428	10	50.0	0.0	0.0	81.5	0.0	clip_14
455	4	64.5	0.0	0.0	51.0	0.5	clip_15
484	8	65.5	60.0	62.0	78.0	0.0	clip_16
510	10	50.0	59.5	68.0	60.5	0.0	clip_17
532	8	51.0	39.5	54.0	76.5	0.0	clip_18
553	7	38.0	26.5	26.5	36.5	0.0	clip_19
582	8	98.0	2.0	2.0	96.5	5.0	clip_20
