onset	duration	Happiness	Muscle	WarmHeartedness	AtEase	Throat	trial
3	7	0.5	50.5	60.5	24.0	34.5	clip_1
44	7	50.0	0.0	0.0	100.0	100.0	clip_2
76	5	50.0	0.0	0.0	82.0	0.5	clip_3
95	8	50.0	62.0	68.0	40.5	49.5	clip_4
139	8	50.0	39.0	20.5	20.5	56.5	clip_5
193	9	50.0	41.0	0.0	99.0	6.0	clip_6
230	7	50.0	0.0	0.0	69.5	15.5	clip_7
270	10	34.5	75.0	73.0	46.0	85.0	clip_8
316	9	50.0	42.5	29.0	70.0	24.0	clip_9
360	8	24.0	24.0	24.0	74.0	33.5	clip_10
420	10	18.0	94.5	81.0	13.0	56.0	clip_11
466	8	50.0	50.0	4.0	4.0	63.5	clip_12
493	8	50.0	60.0	60.0	49.5	31.0	clip_13
525	9	50.0	50.0	28.0	63.5	54.5	clip_14
559	5	33.5	71.5	71.5	29.0	57.5	clip_15
576	8	18.0	99.0	94.0	12.5	70.5	clip_16
590	4	38.5	68.0	68.0	36.0	57.0	clip_17
628	8	17.0	68.0	62.5	29.5	50.5	clip_18
653	5	50.0	62.5	62.5	42.5	52.5	clip_19
670	6	50.0	52.5	62.0	35.5	52.5	clip_20
689	3	50.0	50.0	58.0	43.0	64.5	clip_21
721	6	34.5	45.5	60.0	36.0	66.0	clip_22
737	5	22.5	81.0	77.5	19.0	75.0	clip_23
766	8	3.0	76.0	76.0	6.0	9.0	clip_24
