onset	duration	Happiness	Muscle	WarmHeartedness	AtEase	Throat	trial
16	5	36.5	36.5	49.5	32.5	56.0	clip_1
48	8	50.0	7.0	7.0	80.0	10.5	clip_2
68	4	3.5	85.0	79.0	20.0	68.5	clip_3
94	7	49.5	4.5	38.0	49.0	50.5	clip_4
116	4	50.0	29.5	54.5	28.5	24.0	clip_5
165	7	50.0	23.5	7.0	73.5	10.0	clip_6
196	6	22.0	65.5	65.5	27.5	70.5	clip_7
232	10	27.0	67.5	60.5	29.0	71.5	clip_8
285	5	5.0	93.5	87.5	1.0	92.0	clip_9
307	7	0.0	100.0	100.0	2.0	90.5	clip_10
355	10	0.0	100.0	100.0	0.0	0.0	clip_11
384	9	0.0	96.5	100.0	0.0	100.0	clip_12
