onset	duration	Strong	Surprise	Repeat	IntenseEmotion	Move	trial
27	7	25.5	78.0	15.5	68.5	86.5	clip_1
55	6	36.0	48.0	64.5	74.5	78.5	clip_2
80	8	33.5	66.0	37.0	58.5	93.0	clip_3
103	6	68.5	71.5	82.0	73.5	80.5	clip_4
135	8	56.5	65.5	58.5	61.5	85.0	clip_5
184	6	18.0	78.0	91.5	90.5	93.5	clip_6
224	8	13.5	47.5	17.5	79.0	85.0	clip_7
251	10	23.0	69.0	14.5	71.5	55.0	clip_8
282	8	42.5	54.0	76.0	34.0	57.0	clip_9
316	5	66.5	75.5	87.5	77.5	28.0	clip_10
354	8	33.0	57.0	27.0	33.5	39.0	clip_11
372	6	21.5	60.5	22.5	49.5	78.5	clip_12
405	5	0.0	100.0	8.0	87.5	100.0	clip_13
442	7	0.0	80.5	0.0	88.0	100.0	clip_14
485	5	26.0	82.0	15.0	61.0	79.0	clip_15
