onset	duration	Strong	Surprise	Repeat	IntenseEmotion	Move	trial
1	5	22.0	67.0	24.0	69.5	79.5	clip_1
26	5	13.5	62.0	33.0	0.0	90.0	clip_2
51	6	25.0	27.5	21.5	29.0	23.5	clip_3
65	6	23.0	50.0	2.5	48.5	74.5	clip_4
99	9	63.0	61.0	39.0	42.5	62.0	clip_5
132	8	63.5	46.0	64.0	58.0	71.5	clip_6
210	8	37.5	67.0	11.5	62.0	86.5	clip_7
240	9	37.0	39.5	29.0	39.5	59.0	clip_8
263	5	9.0	68.5	24.5	61.5	73.0	clip_9
296	9	22.5	40.0	41.5	31.0	9.0	clip_10
328	6	70.5	79.0	100.0	67.0	34.0	clip_11
376	8	58.0	62.5	56.0	64.0	37.5	clip_12
393	11	32.0	43.0	25.5	54.0	66.0	clip_13
422	9	0.0	100.0	0.0	81.0	100.0	clip_14
466	5	11.0	69.0	7.0	80.5	100.0	clip_15
535	8	0.0	61.5	0.0	65.5	100.0	clip_16
551	8	0.0	84.5	0.0	70.0	100.0	clip_17
574	6	7.0	22.5	9.5	73.5	100.0	clip_18
599	7	61.5	100.0	78.0	82.5	16.5	clip_19
641	8	87.5	94.5	100.0	81.5	2.5	clip_20
