onset	duration	Happiness	Muscle	WarmHeartedness	AtEase	Throat	trial
15	6	50.0	74.5	4.5	49.5	1.5	clip_1
38	6	25.0	71.5	3.5	39.5	0.0	clip_2
94	5	66.5	0.0	1.5	95.5	5.5	clip_3
160	8	39.0	4.0	45.0	86.0	9.5	clip_4
190	6	86.5	4.5	56.5	90.0	3.5	clip_5
225	7	72.0	2.0	0.5	91.0	3.0	clip_6
265	7	89.0	3.0	0.5	89.0	2.0	clip_7
298	7	25.0	46.0	0.0	57.0	1.5	clip_8
371	7	50.0	19.0	4.0	90.0	3.5	clip_9
420	5	50.0	3.5	3.5	89.5	3.0	clip_10
452	6	50.0	0.0	0.0	83.0	3.0	clip_11
510	6	37.0	37.0	0.0	71.0	2.0	clip_12
536	6	12.5	52.5	4.5	80.5	4.5	clip_13
575	7	50.0	60.0	0.0	62.5	1.5	clip_14
593	7	9.0	12.0	35.5	55.5	3.5	clip_15
633	7	2.5	30.5	34.5	55.0	3.5	clip_16
663	7	28.5	0.0	23.0	80.5	3.5	clip_17
706	7	76.0	5.5	5.5	78.0	3.5	clip_18
