onset	duration	Happiness	Muscle	WarmHeartedness	AtEase	Throat	trial
1	5	28.5	28.5	18.0	62.5	13.0	clip_1
26	5	50.0	3.5	3.5	88.0	11.0	clip_2
51	6	89.0	9.5	4.5	3.0	6.5	clip_3
65	6	62.5	3.0	3.0	90.0	9.5	clip_4
99	9	51.0	2.0	2.0	66.0	18.0	clip_5
132	8	33.0	7.5	7.5	65.5	5.0	clip_6
210	8	6.5	45.5	58.0	24.0	24.0	clip_7
240	9	30.5	15.0	15.0	57.5	0.5	clip_8
263	5	54.5	54.5	52.5	44.0	10.5	clip_9
296	9	50.0	7.0	7.0	90.5	13.5	clip_10
328	6	50.5	27.5	27.5	82.5	6.0	clip_11
376	8	50.0	4.5	4.5	82.0	3.0	clip_12
393	11	45.5	2.5	2.5	85.0	2.5	clip_13
422	9	13.5	51.0	53.0	53.0	34.0	clip_14
466	5	32.0	29.5	29.5	56.5	2.5	clip_15
535	8	9.0	61.5	61.0	22.5	19.5	clip_16
551	8	49.5	39.0	39.0	20.0	20.0	clip_17
574	6	24.0	26.0	38.5	31.0	17.5	clip_18
599	7	88.5	10.0	10.0	82.0	18.5	clip_19
641	8	75.5	19.5	18.0	87.5	12.5	clip_20
