onset	duration	Happiness	Muscle	WarmHeartedness	AtEase	Throat	trial
15	9	88.0	4.5	4.5	99.0	3.0	clip_1
35	5	83.5	1.0	1.0	98.0	1.5	clip_2
63	6	50.0	0.0	0.0	96.5	1.5	clip_3
116	7	50.0	0.0	0.0	88.5	1.0	clip_4
162	8	50.5	13.5	1.5	77.5	3.0	clip_5
185	7	50.0	5.5	5.5	83.5	1.5	clip_6
203	5	48.5	0.0	0.0	84.0	1.5	clip_7
248	7	60.5	0.5	0.5	94.5	94.5	clip_8
286	8	72.5	3.0	3.0	93.0	6.0	clip_9
333	7	37.5	22.0	0.0	72.0	0.5	clip_10
360	7	25.5	43.0	2.0	56.5	1.5	clip_11
383	7	50.0	20.5	6.5	69.5	69.5	clip_12
412	6	36.5	46.5	3.5	63.0	5.5	clip_13
470	9	20.0	2.0	2.0	84.0	0.0	clip_14
517	6	24.0	1.0	11.0	86.5	1.5	clip_15
543	7	48.0	0.5	0.5	82.5	1.0	clip_16
584	8	50.0	39.0	0.0	80.0	80.0	clip_17
627	6	37.0	3.5	3.5	73.0	2.5	clip_18
648	6	50.0	24.5	1.0	73.0	5.0	clip_19
694	7	49.0	1.5	26.5	89.0	3.5	clip_20
743	8	96.5	2.5	55.5	96.0	5.0	clip_21
785	7	94.0	1.0	66.5	95.5	0.0	clip_22
801	6	94.5	2.0	14.0	93.0	1.5	clip_23
