onset	duration	Regard	Undo	SocialNorms	Controlled	Stop	trial
9	4	50.0	28.0	68.0	79.5	21.0	clip_1
37	8	66.0	66.0	84.0	84.0	67.0	clip_2
58	4	51.0	38.5	35.0	78.0	44.5	clip_3
80	4	52.5	29.0	49.5	71.0	46.5	clip_4
104	10	77.5	67.0	17.5	12.5	64.0	clip_5
134	7	56.0	37.0	51.0	74.5	45.0	clip_6
155	5	50.0	25.5	76.0	84.0	14.0	clip_7
188	6	75.5	44.0	57.0	68.0	23.5	clip_8
209	8	50.0	19.0	55.5	84.5	15.0	clip_9
237	8	70.5	24.0	76.5	81.5	29.0	clip_10
279	9	67.5	26.0	32.0	81.0	29.0	clip_11
307	5	74.5	28.0	70.5	80.0	26.5	clip_12
358	6	70.0	28.0	77.0	67.0	28.0	clip_13
374	9	74.5	65.0	59.5	12.5	72.0	clip_14
395	9	82.5	59.0	22.5	17.0	72.5	clip_15
432	8	82.5	69.5	55.5	19.0	86.5	clip_16
488	5	26.0	24.0	51.0	29.5	34.5	clip_17
512	8	23.5	24.0	64.5	84.0	14.5	clip_18
535	5	13.0	19.0	82.5	92.0	16.5	clip_19
576	6	18.5	21.5	73.5	80.0	18.0	clip_20
