onset	duration	Regard	Undo	SocialNorms	Controlled	Stop	trial
15	9	17.5	18.0	86.5	87.5	19.0	clip_1
35	5	22.0	22.0	89.0	87.0	14.5	clip_2
63	6	23.0	19.5	78.5	85.5	85.5	clip_3
116	7	93.0	84.5	80.5	84.0	60.0	clip_4
162	8	19.0	19.0	96.0	82.0	23.0	clip_5
185	7	93.0	60.5	72.5	27.5	63.5	clip_6
203	5	50.0	35.5	35.5	35.5	62.5	clip_7
248	7	17.0	29.0	78.0	25.5	22.0	clip_8
286	8	25.5	19.5	36.0	79.0	25.5	clip_9
333	7	77.5	60.0	33.5	30.0	75.0	clip_10
360	7	30.0	24.0	24.0	24.0	48.0	clip_11
383	7	71.0	47.5	39.5	20.0	66.0	clip_12
412	6	71.5	67.5	50.0	20.5	75.0	clip_13
470	9	72.0	25.0	34.0	15.5	75.5	clip_14
517	6	77.0	23.0	37.5	20.0	12.0	clip_15
543	7	84.0	18.0	82.0	29.0	20.5	clip_16
584	8	24.5	16.5	82.0	77.5	27.5	clip_17
627	6	50.0	24.5	85.5	81.5	15.5	clip_18
648	6	50.0	18.5	75.5	81.0	16.5	clip_19
694	7	34.5	17.5	79.0	82.0	17.5	clip_20
743	8	50.0	24.5	78.0	79.0	13.5	clip_21
785	7	24.0	22.0	79.0	83.5	7.5	clip_22
801	6	13.5	8.0	83.5	86.5	15.0	clip_23
