onset	duration	WarmHeartedness	Command	Happiness	Predictable	Undo	trial
1	5	70.5	28.0	28.0	28.0	28.0	clip_1
26	5	62.5	51.5	49.5	49.5	49.5	clip_2
51	6	50.0	50.0	50.0	50.0	50.0	clip_3
65	6	58.5	38.0	35.0	75.0	29.0	clip_4
99	9	50.0	50.0	50.0	50.0	50.0	clip_5
132	8	70.0	35.0	51.5	34.5	34.5	clip_6
210	8	51.5	51.5	51.5	67.5	75.5	clip_7
240	9	50.0	50.0	50.0	50.0	50.0	clip_8
263	5	50.0	50.0	50.0	60.5	39.5	clip_9
296	9	50.0	50.0	50.0	64.0	37.0	clip_10
328	6	50.5	50.5	50.5	35.5	35.5	clip_11
376	8	50.0	50.0	50.0	50.0	50.0	clip_12
393	11	58.0	38.5	38.5	38.5	38.5	clip_13
422	9	62.0	34.5	34.5	72.0	68.0	clip_14
466	5	50.0	50.0	50.0	50.0	50.0	clip_15
535	8	62.5	38.0	38.0	71.0	31.5	clip_16
551	8	74.0	46.5	23.5	72.0	71.0	clip_17
574	6	71.0	32.5	32.5	63.5	46.0	clip_18
599	7	67.5	33.0	66.0	27.0	27.0	clip_19
641	8	61.0	34.5	66.5	34.0	22.0	clip_20
