onset	duration	WarmHeartedness	Command	Happiness	Predictable	Undo	trial
16	5	50.0	50.0	50.0	50.0	50.0	clip_1
48	8	61.0	50.0	50.0	50.0	50.0	clip_2
68	4	68.5	34.5	34.5	32.0	32.0	clip_3
94	7	57.5	40.5	64.0	65.5	31.5	clip_4
116	4	63.5	40.5	40.5	70.5	26.5	clip_5
165	7	64.0	32.5	32.5	65.0	21.5	clip_6
196	6	69.5	32.0	32.0	32.0	32.0	clip_7
232	10	69.0	33.5	37.5	35.0	35.0	clip_8
285	5	50.0	50.0	59.5	59.5	33.0	clip_9
307	7	74.0	29.0	29.0	23.0	23.0	clip_10
355	10	67.5	34.5	27.5	22.5	67.0	clip_11
384	9	83.0	22.0	17.0	14.5	70.0	clip_12
