onset	duration	Strong	Love	GoalsOther	Good	Guilt	trial
16	5	6.5	6.5	6.5	24.5	18.0	clip_1
45	6	15.5	90.0	90.0	79.5	79.5	clip_2
80	6	13.5	28.0	79.0	2.0	56.5	clip_3
110	7	50.0	52.5	74.5	90.0	21.5	clip_4
140	6	7.0	7.0	7.0	7.0	7.0	clip_5
173	7	3.5	0.0	99.5	3.5	51.0	clip_6
193	6	0.0	0.5	17.5	1.0	31.5	clip_7
225	5	8.0	6.0	15.5	16.0	50.5	clip_8
243	5	94.0	94.0	68.5	54.5	68.0	clip_9
250	8	50.0	6.0	100.0	85.5	43.0	clip_10
270	4	100.0	88.5	74.0	55.5	2.0	clip_11
310	6	9.0	21.0	3.5	25.0	25.0	clip_12
328	10	100.0	0.5	94.5	100.0	7.5	clip_13
360	6	34.5	34.5	94.0	82.0	82.0	clip_14
397	7	94.5	0.0	65.0	75.5	2.5	clip_15
440	5	50.0	62.0	34.5	97.5	1.0	clip_16
452	8	50.0	90.5	61.0	32.0	59.0	clip_17
478	6	100.0	21.0	98.0	73.0	0.5	clip_18
