onset	duration	Pride	Tackle	Frown	Controlled	Happiness	trial
30	6	27.0	0.0	0.0	27.5	52.0	clip_1
50	7	19.5	0.0	0.0	57.0	50.5	clip_2
71	5	50.0	0.0	0.0	100.0	78.0	clip_3
98	10	50.0	0.0	0.0	79.5	79.5	clip_4
128	5	50.0	4.5	0.5	66.0	87.5	clip_5
152	7	34.0	59.5	26.5	6.5	31.5	clip_6
195	8	32.5	88.5	83.0	11.0	36.5	clip_7
221	9	50.0	78.5	78.0	36.5	14.0	clip_8
255	5	50.0	22.5	0.5	62.0	57.0	clip_9
298	10	50.0	5.0	0.5	61.5	55.5	clip_10
336	4	50.0	0.0	0.0	100.0	78.5	clip_11
350	9	50.0	0.0	0.0	41.0	62.5	clip_12
376	9	40.0	64.0	90.0	34.0	59.5	clip_13
428	10	43.0	0.0	13.0	60.0	91.5	clip_14
455	4	41.5	0.0	0.0	66.0	75.5	clip_15
484	8	50.0	0.0	0.0	100.0	100.0	clip_16
510	10	50.0	50.0	60.5	35.0	50.0	clip_17
532	8	36.5	0.0	0.0	42.0	64.0	clip_18
553	7	42.5	0.0	53.0	29.5	50.5	clip_19
582	8	50.0	0.0	0.0	85.5	89.5	clip_20
