onset	duration	Pride	Tackle	Frown	Controlled	Happiness	trial
9	4	50.0	50.0	50.0	100.0	59.5	clip_1
37	8	50.0	12.5	0.0	0.0	26.0	clip_2
58	4	57.0	44.0	0.0	85.0	72.5	clip_3
80	4	50.0	50.0	0.5	14.5	60.0	clip_4
104	10	50.0	39.5	13.5	4.0	17.5	clip_5
134	7	41.0	2.0	0.0	0.0	10.0	clip_6
155	5	50.0	41.0	24.5	100.0	0.0	clip_7
188	6	53.0	30.5	4.0	99.5	65.5	clip_8
209	8	76.5	25.0	16.5	95.0	95.0	clip_9
237	8	57.0	31.0	9.0	62.0	58.5	clip_10
279	9	50.0	54.5	5.0	64.5	45.5	clip_11
307	5	50.0	56.0	62.0	53.0	63.0	clip_12
358	6	54.5	59.0	15.0	72.0	51.5	clip_13
374	9	49.0	81.5	90.5	2.5	2.5	clip_14
395	9	50.0	81.0	81.0	5.5	5.5	clip_15
432	8	48.5	35.5	65.0	10.0	10.0	clip_16
488	5	54.0	9.0	63.5	62.0	54.5	clip_17
512	8	59.0	59.0	33.0	75.0	61.0	clip_18
535	5	87.0	65.0	9.0	100.0	81.5	clip_19
576	6	100.0	0.0	0.0	100.0	87.0	clip_20
