onset	duration	Pride	Tackle	Frown	Controlled	Happiness	trial
16	5	48.0	82.0	68.0	27.5	4.5	clip_1
45	6	59.0	52.5	0.0	100.0	100.0	clip_2
80	6	50.0	100.0	100.0	0.0	0.0	clip_3
110	7	50.0	63.5	22.5	58.5	100.0	clip_4
140	6	50.0	46.0	0.0	38.5	28.5	clip_5
173	7	50.5	100.0	100.0	0.0	0.0	clip_6
193	6	50.0	100.0	100.0	32.5	0.0	clip_7
225	5	50.0	100.0	100.0	1.0	0.0	clip_8
243	5	59.0	71.5	46.0	57.0	67.0	clip_9
250	8	87.0	87.0	11.5	96.0	79.0	clip_10
270	4	65.0	51.5	0.0	0.0	100.0	clip_11
310	6	50.5	50.5	0.0	100.0	100.0	clip_12
328	10	71.5	49.0	3.5	3.5	66.5	clip_13
360	6	98.5	52.5	17.5	91.5	74.5	clip_14
397	7	50.0	0.0	73.5	73.5	42.0	clip_15
440	5	64.0	66.0	100.0	0.0	8.5	clip_16
452	8	53.0	81.5	70.5	70.5	63.5	clip_17
478	6	77.0	14.0	0.0	98.0	94.5	clip_18
