onset	duration	Pride	Tackle	Frown	Controlled	Happiness	trial
3	7	50.0	7.5	0.0	0.0	0.0	clip_1
44	7	50.0	58.0	0.0	100.0	100.0	clip_2
76	5	100.0	99.0	3.0	100.0	100.0	clip_3
95	8	54.0	47.0	0.0	49.0	60.0	clip_4
139	8	48.5	38.5	59.5	66.5	15.5	clip_5
193	9	50.0	50.0	0.0	72.5	2.5	clip_6
230	7	41.5	100.0	70.5	1.5	1.5	clip_7
270	10	33.0	94.0	71.5	0.0	6.5	clip_8
316	9	50.0	89.0	57.0	100.0	75.0	clip_9
360	8	50.0	56.0	10.5	45.5	29.0	clip_10
420	10	50.0	50.0	0.5	46.5	2.5	clip_11
466	8	48.0	27.5	21.5	83.5	44.5	clip_12
493	8	51.5	50.5	0.0	91.0	37.5	clip_13
525	9	73.5	45.0	0.0	100.0	62.0	clip_14
559	5	50.0	0.0	0.0	95.5	100.0	clip_15
576	8	50.0	1.0	85.5	0.0	11.0	clip_16
590	4	50.0	0.0	74.0	30.5	22.5	clip_17
628	8	50.0	46.0	7.0	0.0	18.0	clip_18
653	5	50.0	60.0	6.5	36.5	36.5	clip_19
670	6	50.0	50.0	8.0	8.0	6.5	clip_20
689	3	61.0	76.0	72.5	6.0	65.5	clip_21
721	6	50.0	44.5	19.5	0.0	0.0	clip_22
737	5	50.0	75.5	80.0	17.0	17.0	clip_23
766	8	50.0	0.0	99.5	26.0	0.0	clip_24
