onset	duration	Strong	Love	GoalsOther	Good	Guilt	trial
30	6	2.0	0.0	28.5	3.5	7.5	clip_1
50	7	4.5	0.0	3.0	0.0	10.0	clip_2
71	5	3.0	13.5	6.0	6.0	5.5	clip_3
98	10	4.0	25.0	13.5	3.0	13.0	clip_4
128	5	25.0	55.0	78.0	78.0	2.5	clip_5
152	7	6.0	22.5	50.0	14.5	98.0	clip_6
195	8	1.0	2.5	28.0	1.5	86.5	clip_7
221	9	0.0	0.0	0.0	2.5	14.0	clip_8
255	5	6.0	0.0	70.0	9.5	9.5	clip_9
298	10	6.0	25.5	5.5	91.5	83.5	clip_10
336	4	15.5	15.5	85.0	85.0	2.5	clip_11
350	9	97.0	84.5	75.5	55.0	3.5	clip_12
376	9	0.0	70.0	58.0	52.0	68.5	clip_13
428	10	7.0	65.5	65.5	54.0	37.5	clip_14
455	4	77.5	8.0	44.0	65.0	65.0	clip_15
484	8	89.5	99.5	86.5	79.5	3.5	clip_16
510	10	82.0	96.5	100.0	56.5	68.0	clip_17
532	8	86.0	73.0	56.5	41.0	14.0	clip_18
553	7	0.5	4.0	6.5	0.0	79.5	clip_19
582	8	98.5	22.5	55.0	100.0	85.5	clip_20
