onset	duration	Strong	Love	GoalsOther	Good	Guilt	trial
6	5	47.5	0.0	0.0	0.0	0.5	clip_1
29	5	8.0	8.0	0.5	0.5	0.5	clip_2
60	6	50.0	42.5	71.0	53.0	1.0	clip_3
82	7	42.0	0.5	0.5	8.0	13.0	clip_4
113	6	50.0	50.0	9.0	9.0	21.0	clip_5
134	6	48.5	48.5	100.0	97.0	97.0	clip_6
166	9	50.0	4.0	4.0	4.0	4.0	clip_7
196	8	50.0	7.0	7.0	7.0	16.0	clip_8
239	8	8.5	8.5	8.5	8.5	8.5	clip_9
267	9	38.0	9.5	88.0	89.5	89.5	clip_10
307	10	50.0	2.5	34.0	6.5	6.5	clip_11
352	8	2.0	92.5	92.5	5.0	5.0	clip_12
392	6	2.5	2.5	2.5	27.0	0.0	clip_13
405	7	5.0	5.0	22.0	1.5	1.5	clip_14
443	8	2.5	2.5	2.5	2.5	2.5	clip_15
507	9	6.5	6.5	75.0	75.0	49.5	clip_16
532	7	89.5	54.5	19.0	11.5	19.5	clip_17
570	7	8.0	24.0	22.0	2.5	2.5	clip_18
598	9	12.5	20.5	12.0	12.0	12.5	clip_19
645	8	10.0	23.5	14.0	32.5	21.5	clip_20
674	5	13.5	23.5	13.0	3.5	17.0	clip_21
707	9	7.5	27.0	27.0	10.0	10.0	clip_22
740	7	50.0	74.5	87.0	77.5	67.0	clip_23
776	10	9.0	9.0	5.5	0.0	73.0	clip_24
803	5	3.0	0.0	0.0	0.0	100.0	clip_25
829	7	50.0	31.0	100.0	100.0	100.0	clip_26
864	6	31.5	8.5	8.5	17.0	17.0	clip_27
910	8	79.0	99.0	99.0	99.0	99.0	clip_28
955	10	21.5	5.0	16.0	2.0	2.0	clip_29
972	7	50.0	50.0	63.5	36.0	25.0	clip_30
986	6	26.0	26.0	26.0	10.5	97.0	clip_31
