onset	duration	Strong	Love	GoalsOther	Good	Guilt	trial
15	6	100.0	1.5	1.5	0.0	0.0	clip_1
38	6	85.0	2.5	4.0	24.5	8.0	clip_2
94	5	0.0	29.5	41.0	19.0	75.0	clip_3
160	8	2.0	59.5	45.0	32.0	17.0	clip_4
190	6	82.0	100.0	76.5	73.5	59.0	clip_5
225	7	71.5	63.0	54.5	51.0	51.0	clip_6
265	7	87.5	81.5	78.0	62.0	2.0	clip_7
298	7	5.5	2.0	2.0	2.0	0.0	clip_8
371	7	77.5	77.5	100.0	89.0	75.0	clip_9
420	5	4.5	69.5	69.5	75.0	44.0	clip_10
452	6	84.0	84.0	84.0	91.5	84.5	clip_11
510	6	6.5	0.5	0.5	0.5	0.5	clip_12
536	6	91.0	5.0	20.5	9.5	0.0	clip_13
575	7	40.0	4.0	6.0	0.0	97.5	clip_14
593	7	0.0	4.0	71.0	1.0	98.5	clip_15
633	7	0.0	21.0	44.5	4.0	97.0	clip_16
663	7	1.5	17.5	8.0	0.0	100.0	clip_17
706	7	1.5	0.0	0.0	0.0	100.0	clip_18
