onset	duration	Move	Agent	Good	Stop	Calm	trial
3	7	63.0	68.0	27.0	27.0	27.0	clip_1
44	7	44.0	64.5	51.5	51.5	51.5	clip_2
76	5	50.0	63.0	56.0	49.0	49.0	clip_3
95	8	57.0	57.0	38.5	49.0	45.0	clip_4
139	8	49.5	55.0	42.0	40.5	52.5	clip_5
193	9	42.5	59.5	48.5	35.0	52.0	clip_6
230	7	59.0	48.0	37.0	64.5	45.0	clip_7
270	10	69.0	69.0	31.0	62.5	30.5	clip_8
316	9	38.5	67.5	46.5	43.0	59.0	clip_9
360	8	55.0	35.5	48.5	34.0	44.5	clip_10
420	10	62.5	37.0	35.0	56.5	28.0	clip_11
466	8	61.0	61.0	45.5	41.5	51.5	clip_12
493	8	41.5	62.5	50.0	35.5	49.0	clip_13
525	9	50.0	50.0	46.0	38.0	44.0	clip_14
559	5	40.0	59.0	68.0	35.5	71.0	clip_15
576	8	64.5	33.0	39.0	59.5	36.0	clip_16
590	4	63.5	63.5	46.5	58.5	38.0	clip_17
628	8	46.0	35.5	40.0	58.0	47.5	clip_18
653	5	50.0	34.0	48.5	41.0	48.0	clip_19
670	6	58.0	41.5	37.0	68.0	29.5	clip_20
689	3	38.0	73.5	41.5	30.0	30.0	clip_21
721	6	63.0	63.0	25.5	67.5	34.5	clip_22
737	5	59.5	28.0	32.0	73.5	39.0	clip_23
766	8	65.0	77.0	33.5	65.5	34.5	clip_24
