onset	duration	Move	Agent	Good	Stop	Calm	trial
30	6	58.5	71.0	61.5	37.0	37.0	clip_1
50	7	59.5	68.5	59.0	39.0	61.0	clip_2
71	5	36.0	63.5	49.0	33.0	67.0	clip_3
98	10	50.0	36.0	52.0	40.5	73.5	clip_4
128	5	42.5	36.0	54.5	40.0	60.5	clip_5
152	7	40.5	33.0	31.0	67.5	43.5	clip_6
195	8	43.0	75.0	27.0	69.0	28.0	clip_7
221	9	58.5	26.5	27.5	65.5	27.0	clip_8
255	5	41.5	33.5	54.5	30.0	49.5	clip_9
298	10	50.0	65.0	46.0	40.5	44.0	clip_10
336	4	32.0	63.0	66.0	29.5	70.0	clip_11
350	9	46.5	61.5	59.0	39.5	64.5	clip_12
376	9	59.0	72.5	45.0	59.0	34.0	clip_13
428	10	41.0	52.0	62.0	40.0	64.5	clip_14
455	4	36.5	71.0	68.5	33.5	67.0	clip_15
484	8	41.5	67.5	67.5	42.5	61.5	clip_16
510	10	40.5	69.0	65.0	39.0	44.5	clip_17
532	8	67.5	80.5	74.0	24.5	30.5	clip_18
553	7	58.5	74.0	53.0	31.5	64.5	clip_19
582	8	35.0	65.5	63.5	35.0	67.5	clip_20
