onset	duration	Move	Agent	Good	Stop	Calm	trial
6	5	42.0	36.0	49.0	41.0	46.0	clip_1
29	5	43.0	36.5	57.0	32.5	64.5	clip_2
60	6	38.0	38.0	58.5	38.0	53.0	clip_3
82	7	44.5	59.5	52.0	44.0	53.0	clip_4
113	6	59.5	36.0	38.0	60.5	46.0	clip_5
134	6	69.5	73.0	24.5	72.5	30.5	clip_6
166	9	66.5	66.5	33.5	66.5	41.5	clip_7
196	8	55.5	59.0	40.5	48.5	41.0	clip_8
239	8	58.5	62.5	33.0	60.0	33.0	clip_9
267	9	50.0	72.0	20.5	77.5	20.5	clip_10
307	10	66.0	69.5	37.0	65.5	31.0	clip_11
352	8	65.5	74.0	32.5	65.5	33.0	clip_12
392	6	35.0	67.0	34.5	69.0	35.5	clip_13
405	7	66.5	76.5	28.0	74.5	26.5	clip_14
443	8	63.0	74.0	30.5	78.0	30.5	clip_15
507	9	60.0	65.5	38.0	53.5	41.5	clip_16
532	7	64.0	68.0	31.0	59.5	45.0	clip_17
570	7	47.0	64.0	44.5	53.5	49.5	clip_18
598	9	58.5	72.0	38.5	61.0	35.5	clip_19
645	8	61.0	82.5	31.0	48.0	40.5	clip_20
674	5	64.0	64.5	29.5	60.0	34.0	clip_21
707	9	50.0	50.0	23.0	63.0	29.5	clip_22
740	7	61.0	67.0	38.0	61.5	35.5	clip_23
776	10	62.0	69.5	36.0	61.5	37.5	clip_24
803	5	74.5	80.5	26.5	75.0	32.5	clip_25
829	7	70.5	68.0	29.5	64.5	25.0	clip_26
864	6	61.0	66.0	36.5	62.0	32.0	clip_27
910	8	60.0	68.0	35.5	57.5	30.5	clip_28
955	10	54.5	81.0	34.0	51.5	40.0	clip_29
972	7	56.0	63.0	40.5	57.0	38.5	clip_30
986	6	57.5	33.5	42.5	38.5	48.0	clip_31
