onset	duration	WarmHeartedness	Command	Happiness	Predictable	Undo	trial
6	5	50.0	50.0	50.0	50.0	50.0	clip_1
29	5	50.0	50.0	50.0	50.0	50.0	clip_2
60	6	42.5	42.5	42.5	28.5	28.5	clip_3
82	7	50.0	50.0	50.0	70.5	29.5	clip_4
113	6	58.0	38.0	38.0	76.0	28.0	clip_5
134	6	61.5	33.5	33.5	76.0	65.0	clip_6
166	9	63.0	36.0	36.0	68.5	36.5	clip_7
196	8	50.0	50.0	34.0	29.5	29.5	clip_8
239	8	50.0	50.0	38.0	27.5	20.0	clip_9
267	9	50.0	50.0	50.0	50.0	50.0	clip_10
307	10	64.0	36.0	36.0	32.0	32.0	clip_11
352	8	63.0	39.5	32.5	26.5	26.5	clip_12
392	6	64.5	32.5	32.0	28.0	28.0	clip_13
405	7	64.5	41.5	41.5	70.5	28.5	clip_14
443	8	60.5	38.5	38.5	64.0	27.5	clip_15
507	9	63.5	38.0	30.5	24.0	18.0	clip_16
532	7	67.5	38.5	33.0	33.0	46.5	clip_17
570	7	50.0	50.0	50.0	50.0	50.0	clip_18
598	9	50.0	50.0	50.0	50.0	50.0	clip_19
645	8	50.0	50.0	50.0	50.0	50.0	clip_20
674	5	50.0	50.0	50.0	50.0	50.0	clip_21
707	9	62.0	37.0	33.0	29.5	29.5	clip_22
740	7	58.0	35.5	35.5	33.0	33.0	clip_23
776	10	67.0	39.0	29.0	20.5	20.5	clip_24
803	5	50.0	50.0	50.0	50.0	50.0	clip_25
829	7	67.5	60.5	38.0	69.0	34.0	clip_26
864	6	80.0	66.5	14.5	17.0	66.0	clip_27
910	8	67.5	37.5	37.5	78.5	27.0	clip_28
955	10	64.5	31.5	31.5	75.5	24.5	clip_29
972	7	68.5	31.0	31.0	78.5	30.5	clip_30
986	6	70.5	30.5	30.5	74.0	31.0	clip_31
