onset	duration	Alert	GoalsOther	Repeat	PleasantSelf	Tackle	trial
2	6	49.5	12.5	6.0	48.5	0.0	clip_1
23	5	42.5	12.5	16.5	45.5	8.0	clip_2
66	6	33.5	33.5	28.5	49.0	27.0	clip_3
85	7	50.0	67.5	25.0	48.0	18.5	clip_4
106	6	21.5	66.0	34.0	58.0	62.5	clip_5
124	6	29.0	57.5	50.0	62.0	54.0	clip_6
148	6	27.5	27.5	26.0	64.5	50.0	clip_7
170	10	29.5	49.5	32.5	72.0	66.5	clip_8
195	10	26.5	73.0	47.0	26.0	83.5	clip_9
238	8	30.0	70.0	43.0	51.0	51.0	clip_10
264	8	24.5	82.5	28.0	24.5	81.5	clip_11
294	9	26.0	68.5	34.0	35.5	78.5	clip_12
335	8	29.0	79.5	12.0	12.0	87.5	clip_13
359	5	31.5	0.0	0.0	47.5	0.0	clip_14
395	6	30.0	30.0	0.0	75.0	26.0	clip_15
