onset	duration	Alert	GoalsOther	Repeat	PleasantSelf	Tackle	trial
15	6	31.5	56.5	40.0	49.5	79.0	clip_1
38	6	37.5	68.5	32.0	20.0	90.0	clip_2
94	5	33.0	62.5	30.0	30.0	47.0	clip_3
160	8	31.5	81.5	48.0	24.0	95.5	clip_4
190	6	28.0	100.0	83.0	100.0	100.0	clip_5
225	7	26.0	20.0	91.0	91.0	91.0	clip_6
265	7	35.0	33.0	88.0	96.0	96.0	clip_7
298	7	27.5	90.0	11.0	0.0	98.5	clip_8
371	7	28.5	65.5	12.5	12.5	86.0	clip_9
420	5	23.0	62.5	25.5	22.0	93.5	clip_10
452	6	28.0	47.0	16.5	48.0	68.5	clip_11
510	6	21.5	64.0	56.5	56.5	56.5	clip_12
536	6	23.5	98.5	44.5	35.0	96.0	clip_13
575	7	16.5	70.0	10.0	3.5	98.0	clip_14
593	7	15.5	69.5	7.5	5.0	98.0	clip_15
633	7	20.5	60.5	11.5	15.5	100.0	clip_16
663	7	16.0	38.5	13.0	1.5	68.0	clip_17
706	7	19.5	23.5	51.0	47.0	99.0	clip_18
