onset	duration	Alert	GoalsOther	Repeat	PleasantSelf	Tackle	trial
4	5	50.0	18.5	2.5	47.0	47.0	clip_1
44	6	50.0	35.0	12.5	12.5	18.0	clip_2
71	6	33.5	28.0	22.5	48.5	2.5	clip_3
118	8	28.0	28.0	16.5	49.5	5.0	clip_4
142	7	22.0	13.0	2.0	59.0	14.0	clip_5
168	5	23.0	64.0	36.5	54.0	23.5	clip_6
201	8	26.5	68.5	54.0	64.0	49.5	clip_7
232	6	26.0	33.5	15.0	50.5	8.5	clip_8
267	8	36.0	48.0	11.5	49.0	8.5	clip_9
308	7	25.0	25.0	19.5	54.5	17.5	clip_10
341	10	26.5	67.0	26.0	50.0	19.5	clip_11
404	9	22.0	76.0	51.0	51.0	51.0	clip_12
440	8	33.5	50.0	29.0	48.5	23.5	clip_13
473	7	31.0	47.0	25.5	65.5	55.0	clip_14
510	9	36.0	63.0	59.0	59.0	59.0	clip_15
547	4	39.5	32.5	71.5	71.5	52.5	clip_16
596	9	30.5	72.5	29.5	21.5	61.5	clip_17
638	6	27.5	75.0	28.0	17.5	17.5	clip_18
662	5	28.0	28.0	32.0	15.5	75.0	clip_19
690	8	30.5	66.5	10.0	10.0	76.5	clip_20
720	7	50.0	34.0	14.0	14.0	14.0	clip_21
750	8	34.5	53.5	26.0	26.0	26.0	clip_22
777	5	34.5	56.5	27.5	27.5	34.0	clip_23
799	5	35.0	7.5	7.5	53.0	7.5	clip_24
