onset	duration	Alert	GoalsOther	Repeat	PleasantSelf	Tackle	trial
19	5	15.5	43.5	11.5	11.5	75.5	clip_1
60	6	8.0	51.0	51.0	68.0	46.0	clip_2
95	5	7.5	38.5	55.0	10.0	10.0	clip_3
131	5	8.5	8.5	8.5	13.0	86.5	clip_4
147	6	4.0	55.0	46.5	48.0	57.0	clip_5
176	6	9.5	24.0	92.5	92.5	32.5	clip_6
210	5	5.5	59.0	11.5	11.5	100.0	clip_7
233	5	0.0	64.0	19.5	19.5	100.0	clip_8
255	7	0.0	57.5	85.5	85.5	25.5	clip_9
286	6	5.5	56.5	0.0	0.0	100.0	clip_10
343	5	4.0	4.0	19.5	48.0	72.5	clip_11
385	8	0.0	56.5	31.0	31.0	72.5	clip_12
412	8	0.0	72.0	0.0	0.0	91.5	clip_13
465	7	1.5	16.5	5.5	49.5	82.0	clip_14
518	6	0.5	8.0	13.5	24.5	90.0	clip_15
555	5	0.0	61.0	48.0	27.5	83.5	clip_16
594	7	0.0	57.5	36.0	23.0	100.0	clip_17
611	7	0.5	23.0	97.0	97.0	47.5	clip_18
633	7	0.0	60.0	0.0	0.0	100.0	clip_19
666	4	0.0	28.0	0.0	0.0	87.0	clip_20
701	9	6.5	30.0	28.0	30.0	98.5	clip_21
740	8	0.0	64.0	33.5	34.5	100.0	clip_22
778	9	0.0	55.5	0.0	0.0	100.0	clip_23
799	7	0.0	66.0	0.0	0.0	100.0	clip_24
839	5	3.0	12.5	3.5	4.0	100.0	clip_25
894	6	1.0	18.0	4.0	1.5	100.0	clip_26
962	7	0.0	28.0	0.0	0.0	100.0	clip_27
1002	8	0.0	21.5	0.0	0.0	100.0	clip_28
1022	5	0.0	18.5	0.0	0.0	89.5	clip_29
