onset	duration	Alert	GoalsOther	Repeat	PleasantSelf	Tackle	trial
6	5	13.5	3.0	0.0	45.5	0.0	clip_1
29	5	10.5	17.0	7.0	56.5	25.0	clip_2
60	6	12.5	35.5	17.5	49.0	5.0	clip_3
82	7	12.0	50.5	23.5	47.5	29.0	clip_4
113	6	10.5	55.0	21.0	45.5	26.0	clip_5
134	6	14.0	71.0	11.5	11.5	73.0	clip_6
166	9	11.0	49.0	10.0	10.0	64.0	clip_7
196	8	11.0	6.0	4.0	48.0	18.5	clip_8
239	8	12.5	59.0	36.5	48.0	29.0	clip_9
267	9	12.0	56.5	46.0	46.0	56.5	clip_10
307	10	12.0	63.0	55.5	55.5	58.0	clip_11
352	8	10.5	57.5	57.5	46.0	66.0	clip_12
392	6	9.0	87.0	62.0	59.0	62.5	clip_13
405	7	11.0	78.0	44.0	51.0	63.0	clip_14
443	8	13.5	56.5	39.0	39.0	58.0	clip_15
507	9	9.0	61.0	36.5	29.0	68.5	clip_16
532	7	18.5	18.5	18.5	48.5	25.5	clip_17
570	7	20.0	50.5	34.5	48.0	36.0	clip_18
598	9	22.5	30.5	23.5	23.5	74.5	clip_19
645	8	20.0	10.5	12.0	50.0	67.0	clip_20
674	5	12.0	58.5	30.0	49.0	62.5	clip_21
707	9	15.0	75.0	39.5	45.5	76.5	clip_22
740	7	17.0	10.5	12.0	48.5	48.5	clip_23
776	10	21.0	73.0	31.5	22.5	56.5	clip_24
803	5	27.5	53.5	10.0	0.5	80.0	clip_25
829	7	21.0	59.0	39.0	39.0	62.0	clip_26
864	6	18.5	14.5	3.5	3.5	75.5	clip_27
910	8	14.0	64.5	16.5	14.0	71.5	clip_28
955	10	16.0	57.0	20.0	20.0	55.5	clip_29
972	7	19.0	15.5	15.5	44.0	78.0	clip_30
986	6	49.0	17.0	10.0	21.5	63.5	clip_31
