onset	duration	Alert	GoalsOther	Repeat	PleasantSelf	Tackle	trial
30	6	9.5	9.5	9.5	47.0	15.0	clip_1
50	7	0.0	9.0	45.5	45.5	6.5	clip_2
71	5	3.0	54.0	46.0	46.0	14.5	clip_3
98	10	14.0	69.5	69.5	48.5	11.0	clip_4
128	5	0.0	16.0	48.0	48.0	16.5	clip_5
152	7	7.0	64.0	36.5	36.5	83.5	clip_6
195	8	26.5	89.5	27.5	27.5	81.0	clip_7
221	9	37.0	92.0	31.0	31.0	79.0	clip_8
255	5	35.5	5.5	49.0	49.0	23.5	clip_9
298	10	32.5	3.5	9.0	48.0	15.5	clip_10
336	4	33.0	18.0	21.0	46.0	27.5	clip_11
350	9	32.0	14.5	14.5	47.5	18.0	clip_12
376	9	39.0	56.5	48.0	63.0	36.0	clip_13
428	10	34.0	63.5	56.0	56.0	18.5	clip_14
455	4	40.5	70.5	70.5	70.5	27.0	clip_15
484	8	26.0	62.5	62.5	62.5	16.5	clip_16
510	10	41.0	69.0	66.0	66.0	12.0	clip_17
532	8	50.0	66.5	66.5	66.5	12.0	clip_18
553	7	46.5	46.5	25.0	25.0	19.0	clip_19
582	8	53.5	57.5	38.0	47.0	13.5	clip_20
