onset	duration	Attention	Frown	Satisfaction	Agent	PleasantOther	trial
8	4	73.0	61.0	56.0	48.5	48.5	clip_1
51	8	61.0	52.0	58.0	60.0	56.0	clip_2
80	6	55.0	35.5	35.5	53.0	66.0	clip_3
108	6	66.5	41.5	62.0	62.0	62.0	clip_4
156	3	58.0	33.5	66.5	72.0	79.5	clip_5
209	5	62.0	39.5	69.0	69.0	57.0	clip_6
228	7	74.5	65.5	41.5	41.5	35.5	clip_7
252	6	59.5	64.5	51.0	26.5	35.0	clip_8
288	6	60.0	61.0	58.0	37.0	22.5	clip_9
330	6	62.0	62.5	59.0	84.5	15.0	clip_10
355	8	78.0	66.5	31.0	31.0	16.0	clip_11
390	6	78.5	61.0	37.0	77.0	76.5	clip_12
440	8	63.5	60.5	55.0	81.5	25.0	clip_13
468	9	57.0	68.5	46.5	63.5	43.5	clip_14
501	6	55.5	49.0	46.0	55.0	52.0	clip_15
543	6	69.5	66.5	56.5	60.0	33.0	clip_16
569	8	59.5	40.0	40.0	43.5	28.0	clip_17
611	8	69.0	40.5	79.0	53.0	58.0	clip_18
645	8	68.5	54.0	81.0	57.0	62.0	clip_19
675	8	64.5	31.5	57.5	58.5	46.5	clip_20
719	6	74.0	42.0	60.0	67.5	38.5	clip_21
762	8	83.0	29.0	71.5	61.0	53.5	clip_22
790	5	68.0	55.5	82.0	66.5	77.5	clip_23
