onset	duration	WarmHeartedness	Command	Happiness	Predictable	Undo	trial
15	6	60.5	37.5	37.5	64.0	24.0	clip_1
38	6	61.5	29.0	24.5	63.0	26.5	clip_2
94	5	36.5	36.5	36.5	33.5	33.5	clip_3
160	8	73.5	26.5	26.5	24.5	24.5	clip_4
190	6	68.0	28.5	64.5	64.5	24.0	clip_5
225	7	65.0	34.0	68.5	53.5	25.0	clip_6
265	7	68.0	26.5	67.5	26.0	26.0	clip_7
298	7	70.0	32.0	10.0	10.0	74.5	clip_8
371	7	64.5	28.5	28.5	71.5	26.5	clip_9
420	5	76.5	26.0	26.0	26.0	26.0	clip_10
452	6	67.0	25.0	25.0	25.0	25.0	clip_11
510	6	71.0	24.0	24.0	30.0	30.0	clip_12
536	6	79.0	17.0	29.0	69.0	72.0	clip_13
575	7	72.0	24.0	7.0	7.0	94.5	clip_14
593	7	97.0	91.0	4.0	9.5	97.5	clip_15
633	7	94.0	39.0	5.5	5.5	95.5	clip_16
663	7	93.5	36.0	2.5	2.5	91.5	clip_17
706	7	91.5	37.0	3.5	92.5	92.5	clip_18
