onset	duration	WarmHeartedness	Command	Happiness	Predictable	Undo	trial
16	5	60.5	48.5	84.0	22.5	24.0	clip_1
45	6	50.0	50.5	72.0	29.0	29.0	clip_2
80	6	59.5	36.0	70.5	33.5	30.5	clip_3
110	7	62.5	39.5	72.5	72.5	31.5	clip_4
140	6	59.0	43.0	60.5	62.5	33.0	clip_5
173	7	57.5	32.0	59.0	30.0	30.0	clip_6
193	6	65.0	30.5	24.0	23.0	19.0	clip_7
225	5	60.0	33.0	30.0	30.0	30.0	clip_8
243	5	63.5	43.5	39.5	39.5	39.5	clip_9
250	8	63.5	35.0	62.5	69.5	27.5	clip_10
270	4	59.5	30.5	75.0	23.5	23.5	clip_11
310	6	73.0	30.0	30.0	30.0	30.0	clip_12
328	10	58.5	30.0	66.5	73.0	26.0	clip_13
360	6	61.5	29.0	69.5	33.0	33.0	clip_14
397	7	50.0	38.5	68.0	68.0	31.0	clip_15
440	5	68.0	37.0	34.5	73.5	70.5	clip_16
452	8	50.0	50.0	50.0	25.0	25.0	clip_17
478	6	61.0	38.0	55.5	25.0	25.0	clip_18
