onset	duration	WarmHeartedness	Command	Happiness	Predictable	Undo	trial
9	4	57.5	41.5	46.5	24.0	24.0	clip_1
37	8	56.0	41.5	41.5	38.5	34.0	clip_2
58	4	54.5	46.5	57.0	39.5	39.5	clip_3
80	4	50.0	50.0	50.0	40.5	40.5	clip_4
104	10	50.0	50.0	50.0	27.0	27.0	clip_5
134	7	63.0	35.0	30.5	64.0	26.0	clip_6
155	5	50.0	50.0	50.0	40.0	40.0	clip_7
188	6	50.0	50.0	34.0	34.0	34.0	clip_8
209	8	67.5	37.5	59.5	29.5	29.5	clip_9
237	8	58.0	38.0	38.0	29.0	29.0	clip_10
279	9	65.0	37.0	35.5	31.0	31.0	clip_11
307	5	66.5	41.0	60.0	32.5	32.5	clip_12
358	6	63.0	39.5	39.5	31.0	31.0	clip_13
374	9	63.5	39.5	39.5	39.5	39.5	clip_14
395	9	72.5	34.5	34.5	73.0	26.5	clip_15
432	8	65.0	36.5	36.5	69.5	28.5	clip_16
488	5	62.0	33.0	33.0	74.5	25.0	clip_17
512	8	67.5	36.5	62.0	28.0	28.0	clip_18
535	5	70.5	34.0	60.5	25.5	25.5	clip_19
576	6	72.0	37.0	73.5	31.0	31.0	clip_20
