onset	duration	WarmHeartedness	Command	Happiness	Predictable	Undo	trial
19	5	37.0	37.0	37.0	34.0	26.0	clip_1
60	6	34.0	34.0	34.0	34.0	34.0	clip_2
95	5	31.5	31.5	31.5	31.5	31.5	clip_3
131	5	32.5	32.5	32.5	75.0	20.0	clip_4
147	6	50.0	50.0	50.0	50.0	50.0	clip_5
176	6	64.0	33.0	60.5	60.5	31.0	clip_6
210	5	39.0	39.0	35.0	60.5	30.0	clip_7
233	5	56.5	36.0	36.0	67.5	34.5	clip_8
255	7	50.0	50.0	50.0	71.0	33.0	clip_9
286	6	64.5	32.0	32.0	24.0	34.0	clip_10
343	5	50.0	50.0	50.0	50.0	50.0	clip_11
385	8	58.5	51.0	46.5	46.5	46.5	clip_12
412	8	65.5	26.5	17.5	22.0	22.0	clip_13
465	7	50.0	50.0	30.5	26.5	26.5	clip_14
518	6	50.0	50.0	50.0	50.0	50.0	clip_15
555	5	60.0	41.0	64.5	66.5	38.0	clip_16
594	7	59.0	33.5	40.5	65.0	33.5	clip_17
611	7	58.0	40.5	65.5	61.5	34.5	clip_18
633	7	66.0	33.5	25.5	71.5	65.5	clip_19
666	4	62.5	35.0	35.0	72.5	34.0	clip_20
701	9	57.0	31.0	31.0	24.0	24.0	clip_21
740	8	66.0	34.5	25.5	67.5	31.5	clip_22
778	9	69.5	58.0	23.0	76.5	83.0	clip_23
799	7	70.5	26.5	26.5	69.5	69.5	clip_24
839	5	64.0	39.5	30.5	67.5	47.5	clip_25
894	6	59.5	35.5	25.0	39.5	49.0	clip_26
962	7	73.0	29.0	19.0	26.0	26.0	clip_27
1002	8	80.5	31.0	9.0	85.5	82.5	clip_28
1022	5	72.0	35.5	12.0	85.5	85.5	clip_29
