onset	duration	Move	Agent	Good	Stop	Calm	trial
15	9	50.0	50.0	58.5	58.5	72.0	clip_1
35	5	46.0	45.5	61.5	36.5	33.0	clip_2
63	6	33.5	69.0	63.5	30.5	63.0	clip_3
116	7	29.5	69.0	51.5	51.5	61.5	clip_4
162	8	39.0	60.5	51.0	21.0	69.0	clip_5
185	7	65.5	66.0	38.5	44.0	52.5	clip_6
203	5	71.5	50.5	50.5	54.5	54.5	clip_7
248	7	58.5	11.0	58.5	25.5	71.5	clip_8
286	8	37.0	61.0	61.0	31.5	60.5	clip_9
333	7	61.5	49.5	40.5	40.5	43.5	clip_10
360	7	56.5	56.5	41.0	65.0	49.5	clip_11
383	7	45.5	66.0	50.0	50.0	50.0	clip_12
412	6	36.0	34.5	50.0	32.0	44.5	clip_13
470	9	40.0	67.5	46.0	59.5	41.0	clip_14
517	6	33.0	22.5	43.5	37.0	51.5	clip_15
543	7	37.5	46.5	40.5	45.5	42.5	clip_16
584	8	59.5	59.5	45.0	24.5	47.5	clip_17
627	6	42.0	61.5	41.5	58.0	42.5	clip_18
648	6	38.5	55.0	50.5	38.0	43.0	clip_19
694	7	45.0	59.0	39.5	39.5	39.5	clip_20
743	8	45.0	53.0	61.0	23.5	67.0	clip_21
785	7	40.0	58.0	64.0	26.0	51.0	clip_22
801	6	31.5	61.5	69.5	24.0	64.0	clip_23
