onset	duration	Regard	Undo	SocialNorms	Controlled	Stop	trial
8	4	58.5	79.0	23.0	86.5	85.5	clip_1
51	8	50.0	27.5	59.0	95.0	13.5	clip_2
80	6	80.5	62.0	60.5	60.5	28.5	clip_3
108	6	12.0	12.0	91.5	100.0	1.5	clip_4
156	3	1.5	1.5	86.0	94.5	16.0	clip_5
209	5	7.5	7.5	100.0	100.0	0.0	clip_6
228	7	75.5	66.0	45.0	21.0	71.0	clip_7
252	6	78.5	87.5	19.5	28.0	80.0	clip_8
288	6	52.0	71.5	57.0	39.5	39.5	clip_9
330	6	64.5	71.5	6.5	14.5	87.5	clip_10
355	8	28.0	36.0	82.0	79.5	79.5	clip_11
390	6	15.5	10.0	92.0	86.5	4.0	clip_12
440	8	50.0	50.0	94.5	100.0	49.5	clip_13
468	9	73.0	80.0	13.0	13.0	93.0	clip_14
501	6	77.0	92.0	7.0	2.0	68.0	clip_15
543	6	32.5	82.5	5.0	17.5	90.0	clip_16
569	8	78.5	83.0	50.0	5.0	89.0	clip_17
611	8	50.0	20.5	51.0	89.5	6.0	clip_18
645	8	11.5	5.5	87.0	85.0	6.0	clip_19
675	8	9.5	8.0	90.5	89.0	7.5	clip_20
719	6	11.5	6.0	94.5	89.5	4.0	clip_21
762	8	4.5	7.5	90.5	91.5	4.5	clip_22
790	5	69.0	63.0	45.5	44.0	64.5	clip_23
