onset	duration	Regard	Undo	SocialNorms	Controlled	Stop	trial
16	5	14.0	8.5	16.0	18.0	35.5	clip_1
45	6	7.5	7.5	100.0	100.0	1.0	clip_2
80	6	75.5	50.0	50.0	50.0	67.0	clip_3
110	7	69.5	58.0	99.5	97.5	38.0	clip_4
140	6	86.0	60.0	37.0	95.0	75.0	clip_5
173	7	91.5	98.0	2.0	97.5	100.0	clip_6
193	6	100.0	100.0	0.0	100.0	100.0	clip_7
225	5	38.5	38.5	14.0	82.5	90.0	clip_8
243	5	28.5	27.5	56.5	81.5	12.0	clip_9
250	8	8.0	8.5	37.0	94.5	21.5	clip_10
270	4	0.0	0.0	100.0	100.0	0.0	clip_11
310	6	25.5	21.0	23.5	89.5	26.0	clip_12
328	10	26.5	13.5	28.5	33.5	33.5	clip_13
360	6	19.5	14.5	52.5	92.5	16.5	clip_14
397	7	50.0	50.0	58.0	75.0	12.0	clip_15
440	5	10.5	23.0	11.0	29.5	23.0	clip_16
452	8	18.5	17.5	27.0	94.0	14.5	clip_17
478	6	0.0	0.0	20.5	97.5	3.5	clip_18
