onset	duration	Strong	Love	GoalsOther	Good	Guilt	trial
4	5	96.5	19.0	19.0	11.0	0.0	clip_1
44	6	0.0	0.0	0.0	0.0	0.0	clip_2
71	6	22.5	100.0	22.0	1.5	1.5	clip_3
118	8	50.0	99.0	90.0	79.0	0.0	clip_4
142	7	14.0	12.5	12.5	34.0	1.5	clip_5
168	5	0.5	62.0	26.5	2.0	2.0	clip_6
201	8	2.5	99.5	100.0	100.0	2.0	clip_7
232	6	28.5	0.0	0.0	0.0	0.0	clip_8
267	8	87.0	62.0	2.0	42.0	11.5	clip_9
308	7	2.5	85.5	47.5	19.5	19.5	clip_10
341	10	7.5	7.5	30.0	8.5	21.0	clip_11
404	9	44.5	81.0	93.0	93.0	4.5	clip_12
440	8	21.5	100.0	81.5	49.0	10.0	clip_13
473	7	50.0	51.0	68.5	90.0	1.5	clip_14
510	9	48.5	99.5	99.5	99.5	0.5	clip_15
547	4	1.5	97.0	97.0	96.0	3.0	clip_16
596	9	100.0	0.0	95.5	95.5	78.5	clip_17
638	6	50.0	11.0	11.0	11.0	11.0	clip_18
662	5	12.0	32.0	13.0	30.0	17.0	clip_19
690	8	0.0	15.0	0.0	0.0	0.0	clip_20
720	7	25.0	1.0	1.0	1.0	83.0	clip_21
750	8	50.0	0.0	0.0	0.0	0.0	clip_22
777	5	50.0	20.0	20.0	11.0	11.0	clip_23
799	5	50.0	50.0	0.0	0.0	94.5	clip_24
