onset	duration	Happiness	Muscle	WarmHeartedness	AtEase	Throat	trial
16	5	72.0	0.0	0.0	92.0	0.5	clip_1
45	6	88.0	4.0	4.0	91.5	3.5	clip_2
80	6	18.5	2.5	2.0	88.0	1.0	clip_3
110	7	66.5	2.5	2.5	95.0	3.5	clip_4
140	6	50.0	2.5	2.5	92.0	0.0	clip_5
173	7	64.5	1.0	1.0	96.5	2.0	clip_6
193	6	21.0	1.0	5.5	86.0	1.5	clip_7
225	5	50.5	3.0	3.0	90.0	2.5	clip_8
243	5	50.0	1.5	1.5	100.0	2.5	clip_9
250	8	78.0	0.5	0.5	100.0	2.5	clip_10
270	4	90.5	4.0	4.0	90.0	3.5	clip_11
310	6	49.0	5.0	0.0	95.5	2.0	clip_12
328	10	79.0	1.5	1.5	87.0	2.0	clip_13
360	6	50.0	1.5	1.5	97.5	2.0	clip_14
397	7	46.5	0.5	0.5	95.0	1.5	clip_15
440	5	52.0	4.5	4.5	96.0	3.5	clip_16
452	8	59.5	2.5	2.5	92.5	3.0	clip_17
478	6	50.0	50.0	1.5	94.5	2.5	clip_18
