onset	duration	Happiness	Muscle	WarmHeartedness	AtEase	Throat	trial
19	5	8.5	44.5	2.0	52.5	3.5	clip_1
60	6	67.0	0.0	0.0	79.5	1.0	clip_2
95	5	27.0	4.5	4.5	82.0	4.0	clip_3
131	5	51.5	4.5	4.5	91.5	2.5	clip_4
147	6	31.5	2.0	2.0	83.5	2.0	clip_5
176	6	60.0	1.0	1.0	95.5	2.5	clip_6
210	5	23.5	0.0	0.0	82.0	82.0	clip_7
233	5	21.0	30.0	0.0	77.5	0.0	clip_8
255	7	50.0	0.0	0.0	82.0	0.0	clip_9
286	6	29.5	0.0	0.0	84.0	0.0	clip_10
343	5	50.0	0.0	0.0	91.0	0.0	clip_11
385	8	38.0	0.0	0.0	86.0	0.5	clip_12
412	8	16.5	0.0	0.0	83.0	0.5	clip_13
465	7	50.0	0.0	0.0	91.0	0.0	clip_14
518	6	50.0	0.5	0.5	97.5	1.0	clip_15
555	5	61.5	1.0	0.0	0.0	0.0	clip_16
594	7	50.0	0.0	0.0	95.5	0.0	clip_17
611	7	96.0	2.0	2.0	2.0	2.0	clip_18
633	7	21.0	55.5	1.0	70.5	0.0	clip_19
666	4	28.0	0.0	0.0	70.5	0.0	clip_20
701	9	50.0	53.0	0.0	41.5	2.0	clip_21
740	8	13.0	52.0	1.5	56.5	1.0	clip_22
778	9	1.5	1.5	30.5	47.0	0.0	clip_23
799	7	6.5	2.5	37.5	54.5	2.5	clip_24
839	5	30.5	0.0	33.0	62.0	1.0	clip_25
894	6	52.0	17.0	1.5	75.5	0.0	clip_26
962	7	10.5	0.5	76.5	42.5	13.5	clip_27
1002	8	0.0	33.0	75.5	58.0	44.0	clip_28
1022	5	51.0	6.0	6.0	70.0	8.0	clip_29
