onset	duration	Happiness	Muscle	WarmHeartedness	AtEase	Throat	trial
8	4	63.5	2.5	2.5	96.5	1.0	clip_1
51	8	67.0	1.0	0.0	94.0	4.5	clip_2
80	6	68.0	2.5	2.5	97.0	2.5	clip_3
108	6	64.5	2.0	2.0	76.0	1.0	clip_4
156	3	80.0	2.0	2.0	95.0	3.0	clip_5
209	5	52.0	2.0	3.0	77.5	2.0	clip_6
228	7	32.5	3.0	3.0	92.5	2.5	clip_7
252	6	11.5	1.5	2.5	78.5	2.0	clip_8
288	6	3.5	2.0	2.0	89.0	4.5	clip_9
330	6	42.0	3.0	3.0	91.5	3.0	clip_10
355	8	22.5	3.0	3.0	91.0	3.0	clip_11
390	6	34.0	0.0	0.0	95.5	1.0	clip_12
440	8	50.0	0.0	0.0	89.5	3.0	clip_13
468	9	31.0	0.0	0.0	96.5	1.0	clip_14
501	6	34.0	0.0	0.5	85.5	0.0	clip_15
543	6	31.5	0.5	0.5	89.0	0.0	clip_16
569	8	41.0	1.0	2.0	90.5	2.0	clip_17
611	8	66.0	2.5	2.5	90.0	2.0	clip_18
645	8	87.5	0.5	0.5	94.5	3.5	clip_19
675	8	61.5	1.5	1.5	96.0	1.5	clip_20
719	6	51.5	1.5	1.5	88.5	2.0	clip_21
762	8	65.0	1.0	1.0	94.0	3.0	clip_22
790	5	80.5	0.0	18.5	96.0	2.0	clip_23
