onset	duration	Anxiety	Lips	Pride	Bad	Command	trial
4	5	62.0	50.5	67.5	23.5	62.0	clip_1
44	6	82.5	65.0	56.5	25.0	57.5	clip_2
71	6	39.5	22.5	50.5	23.0	41.5	clip_3
118	8	56.0	44.5	53.0	17.5	43.5	clip_4
142	7	58.5	54.5	42.0	26.0	41.5	clip_5
168	5	50.0	42.5	59.0	16.5	35.5	clip_6
201	8	55.0	36.0	51.5	17.5	29.5	clip_7
232	6	90.0	56.0	48.5	67.0	68.0	clip_8
267	8	76.5	73.0	48.5	61.0	56.0	clip_9
308	7	43.0	40.5	50.5	32.5	36.5	clip_10
341	10	72.0	74.0	37.0	61.5	49.5	clip_11
404	9	59.0	59.0	49.5	24.5	24.5	clip_12
440	8	41.0	33.0	61.5	36.5	28.0	clip_13
473	7	58.0	45.0	56.0	34.0	35.0	clip_14
510	9	63.5	48.0	68.0	8.5	35.5	clip_15
547	4	45.5	50.5	50.5	17.5	30.5	clip_16
596	9	63.0	57.0	41.5	58.5	49.0	clip_17
638	6	67.0	58.0	33.5	73.5	57.0	clip_18
662	5	58.5	43.5	33.0	77.5	51.5	clip_19
690	8	69.0	72.0	34.0	84.5	56.0	clip_20
720	7	68.5	70.0	51.0	81.5	53.0	clip_21
750	8	64.5	53.0	40.5	81.5	56.0	clip_22
777	5	64.0	51.5	39.0	73.5	51.0	clip_23
799	5	56.5	38.5	48.0	60.5	51.5	clip_24
