onset	duration	Anxiety	Lips	Pride	Bad	Command	trial
15	9	75.5	79.5	69.0	29.5	36.0	clip_1
35	5	76.5	73.0	77.5	22.5	39.0	clip_2
63	6	50.0	43.5	37.5	56.0	49.5	clip_3
116	7	75.5	69.0	49.0	61.0	53.5	clip_4
162	8	67.0	55.0	45.5	57.5	49.5	clip_5
185	7	64.5	61.5	50.5	67.5	61.5	clip_6
203	5	64.0	60.5	49.5	61.0	52.5	clip_7
248	7	69.0	47.5	44.5	33.5	42.0	clip_8
286	8	62.5	48.0	58.0	52.5	41.0	clip_9
333	7	68.5	50.5	46.0	65.5	47.0	clip_10
360	7	68.5	60.5	37.5	66.5	60.0	clip_11
383	7	62.5	49.0	34.0	69.0	48.5	clip_12
412	6	68.5	53.5	39.0	66.5	51.5	clip_13
470	9	68.0	65.0	69.5	36.5	30.0	clip_14
517	6	58.0	43.0	36.5	69.0	40.5	clip_15
543	7	74.5	68.0	45.0	71.5	61.0	clip_16
584	8	56.5	47.5	43.0	62.5	36.5	clip_17
627	6	66.0	51.5	35.0	71.5	56.5	clip_18
648	6	66.0	66.0	45.5	65.5	54.0	clip_19
694	7	65.0	52.0	62.5	36.0	32.0	clip_20
743	8	70.0	68.5	80.5	29.0	33.5	clip_21
785	7	69.5	44.5	74.5	21.5	28.0	clip_22
801	6	65.0	51.0	89.5	20.0	38.5	clip_23
