onset	duration	Regard	Undo	SocialNorms	Controlled	Stop	trial
19	5	96.5	80.5	23.5	20.0	78.0	clip_1
60	6	7.5	9.0	89.5	91.0	12.5	clip_2
95	5	82.5	80.5	15.5	90.0	84.0	clip_3
131	5	19.5	15.0	89.5	89.0	12.5	clip_4
147	6	72.5	15.5	83.0	83.0	14.5	clip_5
176	6	8.0	10.5	90.5	90.5	10.0	clip_6
210	5	87.0	74.5	19.0	18.0	80.5	clip_7
233	5	90.0	81.0	24.0	23.0	85.5	clip_8
255	7	9.5	15.0	37.0	85.0	16.0	clip_9
286	6	85.5	74.0	34.0	18.0	79.0	clip_10
343	5	82.5	65.5	84.5	84.0	65.0	clip_11
385	8	79.5	52.5	86.5	87.5	64.5	clip_12
412	8	93.5	15.5	87.0	84.5	39.0	clip_13
465	7	16.5	16.5	87.5	85.0	15.5	clip_14
518	6	76.0	67.5	78.5	79.0	18.5	clip_15
555	5	8.0	12.5	92.0	84.0	17.5	clip_16
594	7	10.0	10.5	91.0	87.5	7.5	clip_17
611	7	7.0	9.5	90.5	93.0	8.5	clip_18
633	7	90.5	81.5	79.5	14.5	84.0	clip_19
666	4	90.0	75.5	67.5	17.5	82.5	clip_20
701	9	93.5	88.0	5.0	5.0	84.5	clip_21
740	8	85.0	74.5	77.0	17.5	77.0	clip_22
778	9	86.0	74.0	29.0	19.0	85.0	clip_23
799	7	90.5	81.5	47.0	19.5	98.5	clip_24
839	5	95.5	95.5	95.5	10.0	24.5	clip_25
894	6	43.5	59.5	71.0	36.5	68.5	clip_26
962	7	30.0	70.0	72.0	29.0	67.0	clip_27
1002	8	87.5	99.0	85.5	18.5	88.0	clip_28
1022	5	88.5	88.5	88.5	18.0	97.0	clip_29
