onset	duration	Regard	Undo	SocialNorms	Controlled	Stop	trial
27	7	93.5	74.0	26.0	22.0	72.0	clip_1
55	6	52.5	29.0	63.0	71.5	20.0	clip_2
80	8	72.0	42.0	41.0	19.0	76.0	clip_3
103	6	92.5	50.5	50.5	25.5	27.5	clip_4
135	8	90.5	34.5	79.5	19.5	13.5	clip_5
184	6	54.5	68.0	14.0	14.0	81.5	clip_6
224	8	77.5	46.0	25.0	21.0	37.5	clip_7
251	10	95.5	83.0	5.5	10.5	87.5	clip_8
282	8	85.0	31.0	50.0	24.0	59.5	clip_9
316	5	23.5	18.5	85.0	23.0	18.0	clip_10
354	8	85.0	70.0	56.0	11.0	53.0	clip_11
372	6	81.5	70.0	29.0	14.0	76.5	clip_12
405	5	95.0	81.0	11.5	5.0	85.0	clip_13
442	7	92.0	83.5	11.0	7.5	92.0	clip_14
485	5	88.0	74.0	50.5	14.5	73.5	clip_15
