onset	duration	Fear	Tackle	Suddenly	Command	Surprise	trial
30	6	0.0	0.0	0.0	0.0	0.0	clip_1
50	7	0.0	0.0	0.0	0.0	100.0	clip_2
71	5	2.0	0.0	0.0	0.0	0.0	clip_3
98	10	0.5	0.5	0.5	0.5	0.5	clip_4
128	5	0.0	0.0	0.0	0.0	0.0	clip_5
152	7	100.0	100.0	100.0	100.0	100.0	clip_6
195	8	100.0	100.0	100.0	100.0	100.0	clip_7
221	9	100.0	100.0	100.0	100.0	100.0	clip_8
255	5	0.0	0.0	0.0	0.0	0.0	clip_9
298	10	0.0	0.0	0.0	0.0	0.0	clip_10
336	4	0.0	0.0	0.0	0.0	0.0	clip_11
350	9	92.5	92.5	93.5	96.5	97.5	clip_12
376	9	100.0	100.0	100.0	100.0	100.0	clip_13
428	10	72.0	90.5	100.0	100.0	100.0	clip_14
455	4	0.0	100.0	100.0	100.0	100.0	clip_15
484	8	0.0	91.5	100.0	100.0	100.0	clip_16
510	10	73.5	76.0	76.0	85.0	98.5	clip_17
532	8	0.0	51.5	98.0	100.0	100.0	clip_18
553	7	98.0	47.5	100.0	100.0	100.0	clip_19
582	8	0.0	0.0	100.0	69.0	100.0	clip_20
