onset	duration	Fear	Tackle	Suddenly	Command	Surprise	trial
3	7	98.5	98.5	98.5	100.0	100.0	clip_1
44	7	0.0	0.0	0.0	0.0	0.0	clip_2
76	5	0.0	100.0	100.0	100.0	100.0	clip_3
95	8	83.5	95.0	95.0	95.0	95.0	clip_4
139	8	0.0	0.0	0.0	0.0	0.0	clip_5
193	9	0.0	0.0	0.0	0.0	0.0	clip_6
230	7	100.0	100.0	100.0	65.5	86.0	clip_7
270	10	93.5	93.5	93.5	93.5	93.5	clip_8
316	9	0.0	0.0	0.0	0.0	0.0	clip_9
360	8	0.0	0.0	0.0	0.0	0.0	clip_10
420	10	94.0	94.0	100.0	51.0	100.0	clip_11
466	8	0.0	0.0	0.0	0.0	0.0	clip_12
493	8	0.0	0.0	0.0	0.0	0.0	clip_13
525	9	24.0	24.0	51.5	80.5	94.0	clip_14
559	5	0.0	0.0	0.0	0.0	0.0	clip_15
576	8	100.0	100.0	100.0	100.0	100.0	clip_16
590	4	50.0	50.0	71.5	77.5	73.0	clip_17
628	8	37.5	37.5	37.5	32.0	32.0	clip_18
653	5	0.0	0.0	0.0	0.0	0.0	clip_19
670	6	50.0	79.0	79.0	50.0	92.0	clip_20
689	3	100.0	100.0	100.0	100.0	100.0	clip_21
721	6	98.5	98.5	98.5	98.5	98.5	clip_22
737	5	97.5	97.5	97.5	97.5	97.5	clip_23
766	8	94.0	94.0	94.0	92.0	100.0	clip_24
